# axfluxmdo golden gap-field table (GetDP "Format Table", trailing 6 cols = x y z bx by bz)
# Provenance: GetDP 3.5.0 Linux64 (pinned) via CI run 27395795341 (getdp-pipeline job),
# gmsh wheel from pip, 2026-06-12. Reference motor (SPEC quickstart: r_o=80mm, r_i=25mm,
# g=0.8mm, p=14, t_m=4mm, N42), open-circuit, magnet_temp_c=65.0, slotless, n_samples=720.
# Regenerate ONLY from a documented GetDP run (CI artifact path) — see CLAUDE.md.
15 836  0 0 0  0 0 0   -0.2148647549835268 0.04511182103151157 0  
15 851  3.272492347489368e-05 0 0  3.272492347489368e-05 0 0   -0.1611595109807649 -0.002903192618148864 0  
15 851  6.544984694978737e-05 0 0  6.544984694978737e-05 0 0   -0.1611595109807649 -0.002903192618148864 0  
15 851  9.817477042468104e-05 0 0  9.817477042468104e-05 0 0   -0.1611595109807649 -0.002903192618148864 0  
15 851  0.0001308996938995747 0 0  0.0001308996938995747 0 0   -0.1611595109807649 -0.002903192618148864 0  
15 851  0.0001636246173744684 0 0  0.0001636246173744684 0 0   -0.1611595109807649 -0.002903192618148864 0  
15 835  0.0001963495408493621 0 0  0.0001963495408493621 0 0   -0.1612166003987987 0.1094545976837766 0  
15 835  0.0002290744643242558 0 0  0.0002290744643242558 0 0   -0.1612166003987987 0.1094545976837766 0  
15 835  0.0002617993877991495 0 0  0.0002617993877991495 0 0   -0.1612166003987987 0.1094545976837766 0  
15 835  0.0002945243112740432 0 0  0.0002945243112740432 0 0   -0.1612166003987987 0.1094545976837766 0  
15 835  0.0003272492347489368 0 0  0.0003272492347489368 0 0   -0.1612166003987987 0.1094545976837766 0  
15 833  0.0003599741582238305 0 0  0.0003599741582238305 0 0   -0.1785049008581372 0.1284155379641234 0  
15 833  0.0003926990816987242 0 0  0.0003926990816987242 0 0   -0.1785049008581372 0.1284155379641234 0  
15 833  0.0004254240051736178 0 0  0.0004254240051736178 0 0   -0.1785049008581372 0.1284155379641234 0  
15 832  0.0004581489286485116 0 0  0.0004581489286485116 0 0   -0.1785049008580857 0.2467838267829769 0  
15 832  0.0004908738521234052 0 0  0.0004908738521234052 0 0   -0.1785049008580857 0.2467838267829769 0  
15 832  0.0005235987755982989 0 0  0.0005235987755982989 0 0   -0.1785049008580857 0.2467838267829769 0  
15 834  0.0005563236990731925 0 0  0.0005563236990731925 0 0   -0.2361095799208179 0.1836059058448343 0  
15 834  0.0005890486225480863 0 0  0.0005890486225480863 0 0   -0.2361095799208179 0.1836059058448343 0  
15 834  0.0006217735460229799 0 0  0.0006217735460229799 0 0   -0.2361095799208179 0.1836059058448343 0  
15 834  0.0006544984694978736 0 0  0.0006544984694978736 0 0   -0.2361095799208179 0.1836059058448343 0  
15 834  0.0006872233929727673 0 0  0.0006872233929727673 0 0   -0.2361095799208179 0.1836059058448343 0  
15 850  0.0007199483164476609 0 0  0.0007199483164476609 0 0   -0.2359771764984373 0.444189326768047 0  
15 850  0.0007526732399225546 0 0  0.0007526732399225546 0 0   -0.2359771764984373 0.444189326768047 0  
15 850  0.0007853981633974483 0 0  0.0007853981633974483 0 0   -0.2359771764984373 0.444189326768047 0  
15 850  0.000818123086872342 0 0  0.000818123086872342 0 0   -0.2359771764984373 0.444189326768047 0  
15 850  0.0008508480103472356 0 0  0.0008508480103472356 0 0   -0.2359771764984373 0.444189326768047 0  
15 850  0.0008835729338221293 0 0  0.0008835729338221293 0 0   -0.2359771764984373 0.444189326768047 0  
15 1008  0.0009162978572970231 0 0  0.0009162978572970231 0 0   -0.2047816128810247 0.4768889701451968 0  
15 1008  0.0009490227807719168 0 0  0.0009490227807719168 0 0   -0.2047816128810247 0.4768889701451968 0  
15 1008  0.0009817477042468104 0 0  0.0009817477042468104 0 0   -0.2047816128810247 0.4768889701451968 0  
15 1008  0.001014472627721704 0 0  0.001014472627721704 0 0   -0.2047816128810247 0.4768889701451968 0  
15 1008  0.001047197551196598 0 0  0.001047197551196598 0 0   -0.2047816128810247 0.4768889701451968 0  
15 1008  0.001079922474671491 0 0  0.001079922474671491 0 0   -0.2047816128810247 0.4768889701451968 0  
15 1008  0.001112647398146385 0 0  0.001112647398146385 0 0   -0.2047816128810247 0.4768889701451968 0  
15 967  0.001145372321621279 0 0  0.001145372321621279 0 0   -0.1987502875675009 0.7091382566220332 0  
15 967  0.001178097245096173 0 0  0.001178097245096173 0 0   -0.1987502875675009 0.7091382566220332 0  
15 967  0.001210822168571066 0 0  0.001210822168571066 0 0   -0.1987502875675009 0.7091382566220332 0  
15 967  0.00124354709204596 0 0  0.00124354709204596 0 0   -0.1987502875675009 0.7091382566220332 0  
15 967  0.001276272015520854 0 0  0.001276272015520854 0 0   -0.1987502875675009 0.7091382566220332 0  
15 967  0.001308996938995747 0 0  0.001308996938995747 0 0   -0.1987502875675009 0.7091382566220332 0  
15 967  0.001341721862470641 0 0  0.001341721862470641 0 0   -0.1987502875675009 0.7091382566220332 0  
15 965  0.001374446785945535 0 0  0.001374446785945535 0 0   -0.113013628374981 0.6481630119511053 0  
15 965  0.001407171709420428 0 0  0.001407171709420428 0 0   -0.113013628374981 0.6481630119511053 0  
15 965  0.001439896632895322 0 0  0.001439896632895322 0 0   -0.113013628374981 0.6481630119511053 0  
15 918  0.001472621556370216 0 0  0.001472621556370216 0 0   -0.1156707876445324 0.7819229009415274 0  
15 918  0.001505346479845109 0 0  0.001505346479845109 0 0   -0.1156707876445324 0.7819229009415274 0  
15 918  0.001538071403320003 0 0  0.001538071403320003 0 0   -0.1156707876445324 0.7819229009415274 0  
15 918  0.001570796326794897 0 0  0.001570796326794897 0 0   -0.1156707876445324 0.7819229009415274 0  
15 918  0.00160352125026979 0 0  0.00160352125026979 0 0   -0.1156707876445324 0.7819229009415274 0  
15 918  0.001636246173744684 0 0  0.001636246173744684 0 0   -0.1156707876445324 0.7819229009415274 0  
15 918  0.001668971097219578 0 0  0.001668971097219578 0 0   -0.1156707876445324 0.7819229009415274 0  
15 913  0.001701696020694471 0 0  0.001701696020694471 0 0   -0.09188004113066306 0.7927694015056961 0  
15 913  0.001734420944169365 0 0  0.001734420944169365 0 0   -0.09188004113066306 0.7927694015056961 0  
15 913  0.001767145867644259 0 0  0.001767145867644259 0 0   -0.09188004113066306 0.7927694015056961 0  
15 913  0.001799870791119153 0 0  0.001799870791119153 0 0   -0.09188004113066306 0.7927694015056961 0  
15 913  0.001832595714594046 0 0  0.001832595714594046 0 0   -0.09188004113066306 0.7927694015056961 0  
15 923  0.00186532063806894 0 0  0.00186532063806894 0 0   -0.09176319489047557 0.8630947515834535 0  
15 923  0.001898045561543834 0 0  0.001898045561543834 0 0   -0.09176319489047557 0.8630947515834535 0  
15 923  0.001930770485018727 0 0  0.001930770485018727 0 0   -0.09176319489047557 0.8630947515834535 0  
15 923  0.001963495408493621 0 0  0.001963495408493621 0 0   -0.09176319489047557 0.8630947515834535 0  
15 923  0.001996220331968515 0 0  0.001996220331968515 0 0   -0.09176319489047557 0.8630947515834535 0  
15 923  0.002028945255443408 0 0  0.002028945255443408 0 0   -0.09176319489047557 0.8630947515834535 0  
15 915  0.002061670178918302 0 0  0.002061670178918302 0 0   -0.04248992929748496 0.8442331399651781 0  
15 915  0.002094395102393196 0 0  0.002094395102393196 0 0   -0.04248992929748496 0.8442331399651781 0  
15 915  0.002127120025868089 0 0  0.002127120025868089 0 0   -0.04248992929748496 0.8442331399651781 0  
15 915  0.002159844949342983 0 0  0.002159844949342983 0 0   -0.04248992929748496 0.8442331399651781 0  
15 915  0.002192569872817877 0 0  0.002192569872817877 0 0   -0.04248992929748496 0.8442331399651781 0  
15 915  0.00222529479629277 0 0  0.00222529479629277 0 0   -0.04248992929748496 0.8442331399651781 0  
15 917  0.002258019719767664 0 0  0.002258019719767664 0 0   -0.04248992929748496 0.8994281561929167 0  
15 917  0.002290744643242558 0 0  0.002290744643242558 0 0   -0.04248992929748496 0.8994281561929167 0  
15 917  0.002323469566717451 0 0  0.002323469566717451 0 0   -0.04248992929748496 0.8994281561929167 0  
15 917  0.002356194490192345 0 0  0.002356194490192345 0 0   -0.04248992929748496 0.8994281561929167 0  
15 917  0.002388919413667239 0 0  0.002388919413667239 0 0   -0.04248992929748496 0.8994281561929167 0  
15 917  0.002421644337142132 0 0  0.002421644337142132 0 0   -0.04248992929748496 0.8994281561929167 0  
15 927  0.002454369260617026 0 0  0.002454369260617026 0 0   -0.04013391737084859 0.9002411622720636 0  
15 927  0.00248709418409192 0 0  0.00248709418409192 0 0   -0.04013391737084859 0.9002411622720636 0  
15 927  0.002519819107566813 0 0  0.002519819107566813 0 0   -0.04013391737084859 0.9002411622720636 0  
15 927  0.002552544031041707 0 0  0.002552544031041707 0 0   -0.04013391737084859 0.9002411622720636 0  
15 927  0.002585268954516601 0 0  0.002585268954516601 0 0   -0.04013391737084859 0.9002411622720636 0  
15 916  0.002617993877991494 0 0  0.002617993877991494 0 0   -0.04013391737084859 0.9337989821135002 0  
15 916  0.002650718801466388 0 0  0.002650718801466388 0 0   -0.04013391737084859 0.9337989821135002 0  
15 916  0.002683443724941282 0 0  0.002683443724941282 0 0   -0.04013391737084859 0.9337989821135002 0  
15 916  0.002716168648416175 0 0  0.002716168648416175 0 0   -0.04013391737084859 0.9337989821135002 0  
15 916  0.002748893571891069 0 0  0.002748893571891069 0 0   -0.04013391737084859 0.9337989821135002 0  
15 916  0.002781618495365963 0 0  0.002781618495365963 0 0   -0.04013391737084859 0.9337989821135002 0  
15 919  0.002814343418840857 0 0  0.002814343418840857 0 0   -0.01930291083797009 0.9266106759956627 0  
15 919  0.00284706834231575 0 0  0.00284706834231575 0 0   -0.01930291083797009 0.9266106759956627 0  
15 919  0.002879793265790644 0 0  0.002879793265790644 0 0   -0.01930291083797009 0.9266106759956627 0  
15 919  0.002912518189265538 0 0  0.002912518189265538 0 0   -0.01930291083797009 0.9266106759956627 0  
15 919  0.002945243112740431 0 0  0.002945243112740431 0 0   -0.01930291083797009 0.9266106759956627 0  
15 919  0.002977968036215325 0 0  0.002977968036215325 0 0   -0.01930291083797009 0.9266106759956627 0  
15 926  0.003010692959690218 0 0  0.003010692959690218 0 0   -0.01930291083797009 0.9516519053467647 0  
15 926  0.003043417883165113 0 0  0.003043417883165113 0 0   -0.01930291083797009 0.9516519053467647 0  
15 926  0.003076142806640006 0 0  0.003076142806640006 0 0   -0.01930291083797009 0.9516519053467647 0  
15 926  0.0031088677301149 0 0  0.0031088677301149 0 0   -0.01930291083797009 0.9516519053467647 0  
15 926  0.003141592653589793 0 0  0.003141592653589793 0 0   -0.01930291083797009 0.9516519053467647 0  
15 926  0.003174317577064687 0 0  0.003174317577064687 0 0   -0.01930291083797009 0.9516519053467647 0  
15 921  0.00320704250053958 0 0  0.00320704250053958 0 0   -0.01931435425649397 0.9516479564835536 0  
15 921  0.003239767424014475 0 0  0.003239767424014475 0 0   -0.01931435425649397 0.9516479564835536 0  
15 921  0.003272492347489368 0 0  0.003272492347489368 0 0   -0.01931435425649397 0.9516479564835536 0  
15 921  0.003305217270964262 0 0  0.003305217270964262 0 0   -0.01931435425649397 0.9516479564835536 0  
15 921  0.003337942194439155 0 0  0.003337942194439155 0 0   -0.01931435425649397 0.9516479564835536 0  
15 921  0.003370667117914049 0 0  0.003370667117914049 0 0   -0.01931435425649397 0.9516479564835536 0  
15 865  0.003403392041388942 0 0  0.003403392041388942 0 0   -0.01931435425649397 0.9686018576450204 0  
15 865  0.003436116964863837 0 0  0.003436116964863837 0 0   -0.01931435425649397 0.9686018576450204 0  
15 865  0.00346884188833873 0 0  0.00346884188833873 0 0   -0.01931435425649397 0.9686018576450204 0  
15 864  0.003501566811813624 0 0  0.003501566811813624 0 0   -0.01485167339786209 0.965749430514125 0  
15 864  0.003534291735288517 0 0  0.003534291735288517 0 0   -0.01485167339786209 0.965749430514125 0  
15 864  0.003567016658763411 0 0  0.003567016658763411 0 0   -0.01485167339786209 0.965749430514125 0  
15 864  0.003599741582238305 0 0  0.003599741582238305 0 0   -0.01485167339786209 0.965749430514125 0  
15 864  0.003632466505713199 0 0  0.003632466505713199 0 0   -0.01485167339786209 0.965749430514125 0  
15 864  0.003665191429188093 0 0  0.003665191429188093 0 0   -0.01485167339786209 0.965749430514125 0  
15 864  0.003697916352662986 0 0  0.003697916352662986 0 0   -0.01485167339786209 0.965749430514125 0  
