# axfluxmdo golden gap-field table (GetDP "Format Table", trailing 6 cols = x y z bx by bz)
# Provenance: GetDP 3.5.0 Linux64 (pinned) via CI run 27395795341 (getdp-pipeline job),
# gmsh wheel from pip, 2026-06-12. Reference motor (SPEC quickstart: r_o=80mm, r_i=25mm,
# g=0.8mm, p=14, t_m=4mm, N42), open-circuit, magnet_temp_c=65.0, slotted, n_samples=720.
# Regenerate ONLY from a documented GetDP run (CI artifact path) — see CLAUDE.md.
15 1072  0 0 0  0 0 0   -0.2774300437632373 0.05299878669327995 0  
15 1087  3.272492347489368e-05 0 0  3.272492347489368e-05 0 0   -0.2142172869575898 -0.003516390496862698 0  
15 1087  6.544984694978737e-05 0 0  6.544984694978737e-05 0 0   -0.2142172869575898 -0.003516390496862698 0  
15 1087  9.817477042468104e-05 0 0  9.817477042468104e-05 0 0   -0.2142172869575898 -0.003516390496862698 0  
15 1087  0.0001308996938995747 0 0  0.0001308996938995747 0 0   -0.2142172869575898 -0.003516390496862698 0  
15 1087  0.0001636246173744684 0 0  0.0001636246173744684 0 0   -0.2142172869575898 -0.003516390496862698 0  
15 1071  0.0001963495408493621 0 0  0.0001963495408493621 0 0   -0.2142853899411428 0.1305172186815855 0  
15 1071  0.0002290744643242558 0 0  0.0002290744643242558 0 0   -0.2142853899411428 0.1305172186815855 0  
15 1071  0.0002617993877991495 0 0  0.0002617993877991495 0 0   -0.2142853899411428 0.1305172186815855 0  
15 1071  0.0002945243112740432 0 0  0.0002945243112740432 0 0   -0.2142853899411428 0.1305172186815855 0  
15 1071  0.0003272492347489368 0 0  0.0003272492347489368 0 0   -0.2142853899411428 0.1305172186815855 0  
15 1069  0.0003599741582238305 0 0  0.0003599741582238305 0 0   -0.2505538256194347 0.1702946186969889 0  
15 1069  0.0003926990816987242 0 0  0.0003926990816987242 0 0   -0.2505538256194347 0.1702946186969889 0  
15 1069  0.0004254240051736178 0 0  0.0004254240051736178 0 0   -0.2505538256194347 0.1702946186969889 0  
15 1068  0.0004581489286485116 0 0  0.0004581489286485116 0 0   -0.2505538256193692 0.3256926654470931 0  
15 1068  0.0004908738521234052 0 0  0.0004908738521234052 0 0   -0.2505538256193692 0.3256926654470931 0  
15 1068  0.0005235987755982989 0 0  0.0005235987755982989 0 0   -0.2505538256193692 0.3256926654470931 0  
15 1070  0.0005563236990731925 0 0  0.0005563236990731925 0 0   -0.3526204644414754 0.2137510984972466 0  
15 1070  0.0005890486225480863 0 0  0.0005890486225480863 0 0   -0.3526204644414754 0.2137510984972466 0  
15 1070  0.0006217735460229799 0 0  0.0006217735460229799 0 0   -0.3526204644414754 0.2137510984972466 0  
15 1070  0.0006544984694978736 0 0  0.0006544984694978736 0 0   -0.3526204644414754 0.2137510984972466 0  
15 1070  0.0006872233929727673 0 0  0.0006872233929727673 0 0   -0.3526204644414754 0.2137510984972466 0  
15 1086  0.0007199483164476609 0 0  0.0007199483164476609 0 0   -0.35249103450648 0.4684823933932396 0  
15 1086  0.0007526732399225546 0 0  0.0007526732399225546 0 0   -0.35249103450648 0.4684823933932396 0  
15 1086  0.0007853981633974483 0 0  0.0007853981633974483 0 0   -0.35249103450648 0.4684823933932396 0  
15 1086  0.000818123086872342 0 0  0.000818123086872342 0 0   -0.35249103450648 0.4684823933932396 0  
15 1086  0.0008508480103472356 0 0  0.0008508480103472356 0 0   -0.35249103450648 0.4684823933932396 0  
15 1086  0.0008835729338221293 0 0  0.0008835729338221293 0 0   -0.35249103450648 0.4684823933932396 0  
15 1089  0.0009162978572970231 0 0  0.0009162978572970231 0 0   -0.5365016316989042 0.4949921020754857 0  
15 1089  0.0009490227807719168 0 0  0.0009490227807719168 0 0   -0.5365016316989042 0.4949921020754857 0  
15 1089  0.0009817477042468104 0 0  0.0009817477042468104 0 0   -0.5365016316989042 0.4949921020754857 0  
15 1117  0.001014472627721704 0 0  0.001014472627721704 0 0   -0.3872806711388268 0.5150617548799472 0  
15 1117  0.001047197551196598 0 0  0.001047197551196598 0 0   -0.3872806711388268 0.5150617548799472 0  
15 1117  0.001079922474671491 0 0  0.001079922474671491 0 0   -0.3872806711388268 0.5150617548799472 0  
15 1117  0.001112647398146385 0 0  0.001112647398146385 0 0   -0.3872806711388268 0.5150617548799472 0  
15 1117  0.001145372321621279 0 0  0.001145372321621279 0 0   -0.3872806711388268 0.5150617548799472 0  
15 1117  0.001178097245096173 0 0  0.001178097245096173 0 0   -0.3872806711388268 0.5150617548799472 0  
15 1117  0.001210822168571066 0 0  0.001210822168571066 0 0   -0.3872806711388268 0.5150617548799472 0  
15 1114  0.00124354709204596 0 0  0.00124354709204596 0 0   -0.3784659848976695 0.5978814081997736 0  
15 1114  0.001276272015520854 0 0  0.001276272015520854 0 0   -0.3784659848976695 0.5978814081997736 0  
15 1114  0.001308996938995747 0 0  0.001308996938995747 0 0   -0.3784659848976695 0.5978814081997736 0  
15 1114  0.001341721862470641 0 0  0.001341721862470641 0 0   -0.3784659848976695 0.5978814081997736 0  
15 1114  0.001374446785945535 0 0  0.001374446785945535 0 0   -0.3784659848976695 0.5978814081997736 0  
15 1114  0.001407171709420428 0 0  0.001407171709420428 0 0   -0.3784659848976695 0.5978814081997736 0  
15 1114  0.001439896632895322 0 0  0.001439896632895322 0 0   -0.3784659848976695 0.5978814081997736 0  
